,PDB,SP
0,101M,P02185
1,102L,P00720
2,10GS,P09211
3,10MH,P05102
4,117E,P00817
5,11AS,P00963
6,11BA,P00669
7,121P,P01112
8,12CA,P00918
9,132L,P00698
10,133L,P61626
11,135L,P00703
12,13PK,P07378
13,153L,P00718
14,155C,P00096
15,15C8,P01869
16,16VP,P06492
17,1914,P49962
18,19HC,Q9RN68
19,1A00,P69905
20,1A02,P01100
21,1A04,P0AF28
22,1A05,Q56268
23,1A06,Q63450
24,1A07,P12931
25,1A0A,P07270
26,1A0B,P0AEC3
27,1A0C,P19148
28,1A0D,P54273
29,1A0E,P45687
30,1A0F,P0A9D2
31,1A0G,P19938
32,1A0H,P00735
33,1A0I,P00969
34,1A0J,P35033
35,1A0K,Q42449
36,1A0L,P20231
37,1A0M,P56638
38,1A0N,","
39,1A0O,P07363
40,1A0P,P0A8P8
41,1A0R,P62871
42,1A0S,P22340
43,1A12,P18754
44,1A14,P01749
45,1A15,P48061
46,1A16,P15034
47,1A17,P53041
48,1A18,P04117
49,1A19,P11540
50,1A1F,P08046
51,1A1M,P61769
52,1A1Q,P26663
53,1A1R,P27958
54,1A1S,Q51742
55,1A1X,P56278
56,1A21,P24055
57,1A22,P10912
58,1A25,P68403
59,1A26,P26446
60,1A27,P14061
61,1A28,P06401
62,1A29,P62157
63,1A2A,P14421
64,1A2B,P61586
65,1A2C,P09945
66,1A2F,P00431
67,1A2J,P0AEG4
68,1A2N,P0A749
69,1A2O,P04042
70,1A2P,P00648
71,1A2Q,P00782
72,1A2T,P00644
73,1A2V,P12807
74,1A2W,P61823
75,1A2X,P02586
76,1A2Y,P01820
77,1A2Z,O07883
78,1A30,P04585
79,1A31,P11387
80,1A32,P05766
81,1A33,Q27450
82,1A34,P17574
83,1A37,P63103
84,1A39,P56680
85,1A3A,P00550
86,1A3B,P28504
87,1A3C,P39765
88,1A3D,P15445
89,1A3G,P0AB80
90,1A3H,O85465
91,1A3K,P17931
92,1A3Q,Q00653
93,1A3R,P04936
94,1A3S,P63279
95,1A3W,P00549
96,1A3Y,P81245
97,1A3Z,P0C918
98,1A40,P0AG82
99,1A41,P68698
100,1A43,P12497
101,1A44,P13696
102,1A45,P23005
103,1A47,P26827
104,1A48,P27616
105,1A49,P11974
106,1A4A,P00280
107,1A4E,P15202
108,1A4F,P01990
109,1A4G,P27907
110,1A4H,P02829
111,1A4I,P11586
112,1A4J,P01834
113,1A4L,P03958
114,1A4P,P60903
115,1A4R,P60953
116,1A4S,P56533
117,1A4U,P10807
118,1A4V,P00709
119,1A4Y,P03950
120,1A4Z,P20000
121,1A50,P00929
122,1A52,P03372
123,1A53,Q06121
124,1A59,O34002
125,1A5C,P14223
126,1A5D,P02528
127,1A5H,P00750
128,1A5I,P98119
129,1A5K,P18314
130,1A5T,P28631
131,1A5V,O92956
132,1A5Y,P18031
133,1A5Z,P16115
134,1A62,P0AG30
135,1A64,P08921
136,1A69,P0ABP8
137,1A6A,P01903
138,1A6C,Q88894
139,1A6D,P48424
140,1A6F,P25814
141,1A6I,P0ACT4
142,1A6J,P69829
143,1A6L,P00214
144,1A6Q,P35813
145,1A6R,Q01532
146,1A6U,P01724
147,1A6Y,P20393
148,1A70,P00221
149,1A71,P00327
150,1A73,Q94702
151,1A75,P02621
152,1A76,Q58839
153,1A78,P56217
154,1A79,Q58819
155,1A7A,P23526
156,1A7C,P05121
157,1A7D,P02247
158,1A7G,P17383
159,1A7H,P06504
160,1A7J,P12033
161,1A7K,Q27890
162,1A7L,P0AEX9
163,1A7S,P20160
164,1A7T,P25910
165,1A7U,O31168
166,1A7V,P00149
167,1A7W,P19267
168,1A7X,P62942
169,1A80,P06632
170,1A81,P07766
171,1A82,P13000
172,1A85,P22894
173,1A87,P08083
174,1A88,P49323
175,1A8A,P14668
176,1A8D,P04958
177,1A8E,P02787
178,1A8G,P03367
179,1A8H,P23395
180,1A8I,P00489
181,1A8J,P01709
182,1A8M,P01375
183,1A8P,Q44532
184,1A8Q,P33912
185,1A8R,P0A6T5
186,1A8S,O31158
187,1A8Y,P07221
188,1A92,P25989
189,1A95,P0A9M5
190,1A99,P31133
191,1A9M,P03366
192,1A9N,P09661
193,1A9O,P55859
194,1A9U,Q16539
195,1A9X,P0A6F1
196,1A9Y,P09147
197,1AA0,P10104
198,1AA1,P00875
199,1AA2,Q01082
200,1AA6,P07658
201,1AA7,P03485
202,1AAC,P22364
203,1AAL,P00974
204,1AAM,P00509
205,1AAP,P05067
206,1AAR,P0CH28
207,1AAT,P00504
208,1AAZ,P00276
209,1AB1,P01542
210,1AB4,P0AES4
211,1AB5,P0AE67
212,1AB8,P26769
213,1AB9,P00766
214,1ABE,P02924
215,1ABJ,P00734
216,1ABN,P15121
217,1ABO,P55194
218,1ABQ,P00520
219,1ABR,P11140
220,1AC5,P09620
221,1AC6,P06323
222,1ACC,P13423
223,1ACF,Q95VF7
224,1ACJ,P04058
225,1ACM,P0A786
226,1ACO,P20004
227,1ACX,P01551
228,1ACY,P05877
229,1AD1,O05701
230,1AD2,P27150
231,1AD3,P11883
232,1AD5,P08631
233,1AD6,P06400
234,1AD8,P01050
235,1ADE,P0A7D4
236,1ADJ,P56194
237,1ADO,P00883
238,1ADQ,P01861
239,1ADU,P03265
240,1ADW,P80401
241,1AE1,P50162
242,1AE2,P69543
243,1AE4,P50578
244,1AE7,P00608
245,1AE9,P03700
246,1AEC,P00785
247,1AEI,P26256
248,1AEP,P10762
249,1AER,P11439
250,1AEW,P02791
251,1AF0,P23694
252,1AF2,P0ABF6
253,1AF3,P53563
254,1AF4,P00780
255,1AF5,P05725
256,1AF6,P02943
257,1AF7,P07801
258,1AFA,P19999
259,1AFC,P03968
260,1AFR,P22337
261,1AFS,P23457
262,1AFW,P27796
263,1AG0,P00282
264,1AG1,P04789
265,1AG6,P00289
266,1AG9,P61949
267,1AGI,P10152
268,1AGJ,P09331
269,1AGM,P69327
270,1AGN,P40394
271,1AGQ,Q07731
272,1AGR,P10824
273,1AGS,P09210
274,1AGW,P11362
275,1AGX,P10172
276,1AGY,P00590
277,1AH0,P80276
278,1AH5,P06983
279,1AH7,P09598
280,1AHA,P16094
281,1AHH,P0AET8
282,1AHJ,P13448
283,1AHO,P01484
284,1AHP,P00490
285,1AHQ,P37167
286,1AHR,P62149
287,1AHS,P36325
288,1AHU,P56216
289,1AHW,P01868
290,1AI2,P08200
291,1AI4,P06875
292,1AI9,P22906
293,1AID,P03369
294,1AIE,P04637
295,1AIF,P01837
296,1AIG,P0C0Y7
297,1AIH,P21442
298,1AII,P12429
299,1AIK,P04578
300,1AIL,P03495
301,1AIM,P25779
302,1AIN,P04083
303,1AIP,P43895
304,1AIQ,P0A884
305,1AIR,P11073
306,1AIS,P62001
307,1AIU,P10599
308,1AIV,P02789
309,1AIX,P28510
310,1AJ0,P0AC13
311,1AJ5,Q64537
312,1AJ6,P0AES6
313,1AJ7,P01857
314,1AJ8,Q53554
315,1AJA,P00634
316,1AJJ,P01130
317,1AJK,P23904
318,1AJR,P00503
319,1AK0,P24289
320,1AK1,P32396
321,1AK2,P08166
322,1AK5,P50097
323,1AKA,P00508
324,1AKD,P00183
325,1AKE,P69441
326,1AKG,P50985
327,1AKH,P0CY10
328,1AKL,Q03023
329,1AKM,P04391
330,1AKN,P30122
331,1AKO,P09030
332,1AKQ,P00323
333,1AKS,P00761
334,1AKY,P07170
335,1AKZ,P13051
336,1AL0,P03641
337,1AL2,P03300
338,1AL3,P45600
339,1AL6,P23007
340,1AL7,P05414
341,1ALA,P17153
342,1ALC,P12065
343,1ALD,P04075
344,1ALL,P72505
345,1ALQ,P00807
346,1ALU,P05231
347,1ALV,P04574
348,1ALY,P29965
349,1AM2,P72065
350,1AM5,P56272
351,1AM7,P03706
352,1AM9,P36956
353,1AME,P19614
354,1AMF,P37329
355,1AMH,P00763
356,1AMK,P48499
357,1AMM,P02526
358,1AMO,P00388
359,1AMP,Q01693
360,1AMU,P0C061
361,1AMX,Q53654
362,1AMY,P04063
363,1AN1,P80424
364,1AN2,P61244
365,1AN4,P22415
366,1AN7,P24319
367,1AN8,Q8NKX2
368,1AN9,P00371
369,1ANN,P13214
370,1ANT,P01008
371,1ANU,Q06851
372,1ANW,P08758
373,1AO0,P00497
374,1AO3,P04275
375,1AO5,P36368
376,1AO6,P02768
377,1AOA,P13797
378,1AOC,P02681
379,1AOD,P34024
380,1AOF,P72181
381,1AOG,P28593
382,1AOI,P06897
383,1AOJ,Q08509
384,1AOK,P14420
385,1AOL,P03390
386,1AON,P0A6F9
387,1AOP,P17846
388,1AOR,Q51739
389,1AOS,P04424
390,1AOV,P56410
391,1AOX,P17301
392,1AOZ,P37064
393,1AP5,P04179
394,1AP9,P02945
395,1APA,Q03464
396,1APH,P01317
397,1APL,P0CY08
398,1APM,P63248
399,1APN,P02866
400,1APT,P00798
401,1APX,P48534
402,1APY,P20933
403,1AQ0,P12257
404,1AQ1,P24941
405,1AQ2,P22259
406,1AQ3,P03612
407,1AQ6,Q60099
408,1AQ7,P00760
409,1AQ8,P38501
410,1AQB,P27485
411,1AQC,Q02410
412,1AQE,P38554
413,1AQH,P29957
414,1AQI,P14385
415,1AQT,P0A6E6
416,1AQU,P49891
417,1AQZ,P67876
418,1AR0,P61972
419,1AR1,P98002
420,1AR2,P01593
421,1AR4,P80293
422,1ARB,P15636
423,1ARL,P00730
424,1ARO,P00806
425,1ARP,P28313
426,1ARZ,P04036
427,1AS4,P01011
428,1ASH,P28316
429,1AST,P07584
430,1ASY,P04802
431,1AT0,Q02936
432,1ATI,P56206
433,1ATJ,P00433
434,1ATK,P43235
435,1ATL,P15167
436,1ATN,P68135
437,1ATR,P19120
438,1ATT,P41361
439,1ATU,P01009
440,1AU1,P01574
441,1AU7,P10037
442,1AU8,P08311
443,1AUA,P24280
444,1AUE,P42345
445,1AUG,P46107
446,1AUI,P63098
447,1AUK,P15289
448,1AUN,P25871
449,1AUO,Q53547
450,1AUP,P24295
451,1AUT,P04070
452,1AUV,P17599
453,1AUW,P24058
454,1AUY,P03608
455,1AV1,P02647
456,1AV4,P46881
457,1AV5,P49773
458,1AV6,P07617
459,1AV8,P69924
460,1AVB,P19329
461,1AVC,P79134
462,1AVD,P02701
463,1AVF,P20142
464,1AVO,Q06323
465,1AVP,P03274
466,1AVQ,P03697
467,1AVS,P02588
468,1AVU,P01070
469,1AVV,P03406
470,1AVZ,P06241
471,1AW1,P50921
472,1AW5,P05373
473,1AW7,P06886
474,1AW8,P0A790
475,1AWB,P29218
476,1AWC,Q00420
477,1AWD,P56408
478,1AWI,P07737
479,1AWP,P04166
480,1AWQ,P62937
481,1AX0,P16404
482,1AX4,P28796
483,1AX8,P41159
484,1AXB,P62593
485,1AXC,P38936
486,1AXD,P12653
487,1AXM,P05230
488,1AXT,P01865
489,1AY0,P23254
490,1AY2,P02974
491,1AY4,P95468
492,1AY9,P0AG11
493,1AYA,P05622
494,1AYB,P35569
495,1AYD,P35235
496,1AYE,P48052
497,1AYF,P00257
498,1AYI,Q03708
499,1AYM,Q82122
500,1AYO,Q7SIH1
501,1AYP,P14555
502,1AYR,P08168
503,1AYX,P08017
504,1AYY,Q47898
505,1AYZ,P06104
506,1AZ0,P04390
507,1AZ5,P05896
508,1AZD,P55915
509,1AZI,P68082
510,1AZM,P00915
511,1AZO,P06722
512,1AZP,P13123
513,1AZT,P04896
514,1AZV,P00441
515,1AZW,P52279
516,1AZY,P07650
517,1AZZ,P00771
518,1B00,P0AFJ5
519,1B01,P13920
520,1B02,P0CI79
521,1B04,O87703
522,1B05,P06202
523,1B06,Q08713
524,1B07,Q64010
525,1B08,P35247
526,1B09,P02741
527,1B0A,P24186
528,1B0B,P41260
529,1B0E,P00772
530,1B0F,P08246
531,1B0J,P16276
532,1B0L,P02788
533,1B0N,P23308
534,1B0O,P02754
535,1B0P,P94692
536,1B0U,P02915
537,1B0W,P01594
538,1B0X,Q03137
539,1B0Y,P00260
540,1B0Z,P13376
541,1B11,P16088
542,1B12,P00803
543,1B13,P00268
544,1B17,P01315
545,1B1B,P9WMH1
546,1B1C,P16435
547,1B1U,P01087
548,1B1X,O77811
549,1B1Y,P16098
550,1B1Z,P0DJY7
551,1B23,Q01698
552,1B24,P21505
553,1B26,P96110
554,1B2M,P00651
555,1B2R,P21890
556,1B2V,Q54450
557,1B2Y,P04746
558,1B30,P56588
559,1B33,P00318
560,1B34,P62314
561,1B35,P13418
562,1B37,O64411
563,1B3A,P13501
564,1B3D,P08254
565,1B3J,Q29983
566,1B3N,P0AAI5
567,1B3O,P12268
568,1B3Q,Q56310
569,1B3R,P10760
570,1B3T,P03211
571,1B3U,P30153
572,1B41,P0C1Z0
573,1B43,O93634
574,1B44,P0CK94
575,1B47,P22681
576,1B48,P24472
577,1B49,P08773
578,1B4A,O31408
579,1B4E,P0ACB2
580,1B4F,P29323
581,1B4K,Q59643
582,1B4L,P00445
583,1B4P,P08010
584,1B4S,P22887
585,1B4U,P22635
586,1B4V,P12676
587,1B4W,O42187
588,1B54,P38197
589,1B55,Q06187
590,1B56,Q01469
591,1B57,P0AB71
592,1B59,P50579
593,1B5F,Q9XFX3
594,1B5L,P56828
595,1B5O,Q56232
596,1B5S,P11961
597,1B5T,P0AEZ1
598,1B62,P23367
599,1B66,P27213
600,1B67,P48781
601,1B68,P02649
602,1B6B,Q29495
603,1B6E,Q13241
604,1B6G,P22643
605,1B6Q,P03051
606,1B6R,P09029
607,1B6T,P0A6I6
608,1B6U,P43628
609,1B70,P27001
610,1B71,P24931
611,1B72,P14653
612,1B73,P56868
613,1B77,O80164
614,1B78,Q57679
615,1B79,P0ACB0
616,1B7B,P0A2X8
617,1B7D,P15226
618,1B7E,Q46731
619,1B7F,P19339
620,1B7G,P39460
621,1B7T,P07291
622,1B7V,P82599
623,1B80,P06181
624,1B89,P49951
625,1B8A,Q52428
626,1B8C,P02618
627,1B8D,O36005
628,1B8F,P21310
629,1B8G,P37821
630,1B8I,P40427
631,1B8K,P20783
632,1B8M,P23560
633,1B8P,Q9ZF99
634,1B8X,P08515
635,1B8Z,P36206
636,1B90,P36924
637,1B93,P0A731
638,1B98,P34130
639,1B9B,P36204
640,1B9C,P42212
641,1B9E,P01308
642,1B9H,O52552
643,1B9K,P17427
644,1B9L,P0AC19
645,1B9M,P0A9G8
646,1B9S,P03474
647,1BA2,P02925
648,1BA3,P08659
649,1BAG,P00691
650,1BAI,P03322
651,1BAM,P23940
652,1BAS,P09038
653,1BAW,Q51883
654,1BAY,P19157
655,1BAZ,P03050
656,1BB6,P11941
657,1BB9,O08839
658,1BBH,P00154
659,1BBP,P09464
660,1BBR,P02671
661,1BBS,P00797
662,1BBU,P0A8N3
663,1BBZ,P00519
664,1BC2,P04190
